Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_3824,99.00492299,1.610180673,0.268664337,5.993280287,2.06E-09,7.34E-08
BT_0769,3293.419071,-0.43703685,0.073061246,-5.981787562,2.21E-09,7.81E-08
BT_0723,337.6423862,1.463865093,0.246075064,5.948855889,2.70E-09,9.47E-08
BT_4009,293.5408839,1.040997211,0.175711382,5.924472282,3.13E-09,1.09E-07
BT_0875,2654.970634,-0.42973608,0.072940099,-5.891630054,3.82E-09,1.32E-07
BT_3431,1483.784648,0.665522855,0.113993934,5.83823043,5.28E-09,1.80E-07
BT_2694,1828.126204,0.989789289,0.169637961,5.834715791,5.39E-09,1.83E-07
BT_0557,46448.08823,-0.662939742,0.114028195,-5.813822973,6.11E-09,2.05E-07
BT_1180,1576.175474,-0.551018802,0.095080115,-5.795310656,6.82E-09,2.27E-07
BT_3188,1906.572127,0.918298591,0.158862227,5.780471579,7.45E-09,2.46E-07
BT_3912,5793.985046,0.725390388,0.126566764,5.731286513,9.97E-09,3.27E-07
BT_4108,169.3946625,1.194483603,0.208493945,5.729104523,1.01E-08,3.29E-07
BT_3006,1192.750608,-0.40161289,0.070226139,-5.718851888,1.07E-08,3.46E-07
BT_2550,1397.91695,0.624062603,0.109186595,5.715560603,1.09E-08,3.50E-07
BT_1446,629.6109241,-0.602351493,0.105544915,-5.707063124,1.15E-08,3.65E-07
BT_3224,1739.912201,0.491301958,0.086787323,5.660987622,1.51E-08,4.74E-07
BT_2934,4636.126405,0.533809617,0.094668473,5.638726381,1.71E-08,5.36E-07
BT_2480,1396.210153,1.460475487,0.25921464,5.634232255,1.76E-08,5.46E-07
BT_0458,1862.202193,0.466648807,0.08291518,5.628026233,1.82E-08,5.58E-07
BT_1184,660.6773439,-0.699998391,0.124380967,-5.627857746,1.82E-08,5.58E-07
BT_1950,1454.444146,-0.634936311,0.113101269,-5.613874355,1.98E-08,5.96E-07
BT_3031,2081.481595,0.719865619,0.128208896,5.614786819,1.97E-08,5.96E-07
BT_0724,776.8810993,0.686152019,0.122302705,5.610276711,2.02E-08,5.99E-07
BT_3203,685.9526459,1.876374111,0.334444206,5.610424928,2.02E-08,5.99E-07
BT_3702,443.4011886,1.55375567,0.277555142,5.598007143,2.17E-08,6.39E-07
BT_3970,744.6344271,0.622676393,0.111444126,5.587341516,2.31E-08,6.74E-07
BT_4627,3183.419007,-0.365509452,0.065514052,-5.57910005,2.42E-08,7.02E-07
BT_3169,3482.021711,0.626224497,0.112360371,5.573357349,2.50E-08,7.20E-07
BT_0835,7510.759181,-0.348554435,0.06262698,-5.565563558,2.61E-08,7.48E-07
BT_2168,1200.884508,0.407955333,0.073349057,5.561834775,2.67E-08,7.59E-07
BT_4110,151.3484033,1.054611916,0.190329715,5.540973548,3.01E-08,8.49E-07
BT_1166,1034.911155,-0.529992424,0.096586071,-5.487255261,4.08E-08,1.14E-06
BT_1671,1752.792018,-0.443923549,0.080930634,-5.485235031,4.13E-08,1.15E-06
BT_2854,390.4364487,0.853485322,0.155622911,5.484316653,4.15E-08,1.15E-06
BT_2223,272.9575146,0.837810418,0.15335636,5.463160557,4.68E-08,1.28E-06
BT_1055,405.8622625,-0.661457849,0.121427918,-5.44732927,5.11E-08,1.39E-06
BT_3454,941.9993509,0.908676481,0.167277051,5.432164636,5.57E-08,1.51E-06
BT_1056,790.8320891,-0.565997511,0.104403421,-5.421254471,5.92E-08,1.59E-06
BT_1543,1918.528019,1.386894091,0.256226807,5.412759528,6.21E-08,1.66E-06
BT_1855,701.046303,-0.563317115,0.104221169,-5.405016289,6.48E-08,1.72E-06
BT_1205,7166.495749,-0.545394697,0.100959185,-5.402130556,6.59E-08,1.74E-06
BT_1804,5773.800834,-0.598689322,0.111292756,-5.379409634,7.47E-08,1.95E-06
BT_2699,3233.745312,0.696050362,0.129379281,5.379921396,7.45E-08,1.95E-06
BT_2446,198.7918248,0.821307209,0.153257714,5.358994243,8.37E-08,2.16E-06
BT_0688,478.0617921,-0.59778479,0.111655786,-5.353818297,8.61E-08,2.20E-06
BT_0900,29148.46046,-0.618211212,0.115475221,-5.353626599,8.62E-08,2.20E-06
BT_1454,256.3317272,2.349240556,0.439459878,5.345745249,9.00E-08,2.29E-06
BT_1181,775.9893056,-0.591264481,0.110870861,-5.332911402,9.67E-08,2.44E-06
BT_0834,4549.064931,-0.350097062,0.065755591,-5.324217387,1.01E-07,2.54E-06
BT_4124,222.1360404,1.461102693,0.274820436,5.316572211,1.06E-07,2.63E-06
BT_3610,3028.353887,0.43579196,0.082069056,5.310064227,1.10E-07,2.71E-06
BT_4322,5898.449184,0.380959903,0.071763447,5.308550774,1.11E-07,2.72E-06
BT_4492,941.8558999,0.559131445,0.105573706,5.296124091,1.18E-07,2.89E-06
BT_1979,22718.57455,-0.622391805,0.11760148,-5.292380707,1.21E-07,2.93E-06
BT_2198,640.365305,0.537171756,0.101693795,5.28224711,1.28E-07,3.08E-06
BT_3377,1465.371565,0.705229186,0.133600669,5.278635158,1.30E-07,3.13E-06
BT_1805,5300.305867,-0.720387121,0.136689251,-5.270254344,1.36E-07,3.25E-06
BT_p548224,70.40111839,1.758898774,0.334006275,5.266065063,1.39E-07,3.31E-06
BT_1087,7279.532835,-0.562638008,0.106886482,-5.263883658,1.41E-07,3.33E-06
BT_2952,511.9103986,1.652120732,0.315120898,5.242815514,1.58E-07,3.71E-06
BT_2482,420.7322437,2.03896643,0.3894079,5.236068476,1.64E-07,3.83E-06
BT_4002,9552.430565,0.303757813,0.058292225,5.21094901,1.88E-07,4.36E-06
BT_p548209,374.2376275,2.751306932,0.528150675,5.209322003,1.90E-07,4.37E-06
BT_3235,165.6250084,-0.858724371,0.165823923,-5.178531256,2.24E-07,5.13E-06
BT_3152,2279.974649,0.474553542,0.091951172,5.160929799,2.46E-07,5.60E-06
BT_1175,2446.159832,-0.40075398,0.077745074,-5.154718616,2.54E-07,5.73E-06
BT_3538,1256.853069,0.714778214,0.138672502,5.154433689,2.54E-07,5.73E-06
BT_0815,10144.0503,-0.508634052,0.098893817,-5.143234124,2.70E-07,6.05E-06
BT_1165,2317.104391,-0.533519821,0.103983284,-5.13082297,2.88E-07,6.40E-06
BT_3609,906.4066895,0.475095359,0.092595465,5.130870696,2.88E-07,6.40E-06
BT_1199,3215.357053,-0.696945073,0.13636268,-5.110966374,3.21E-07,7.07E-06
BT_2576,241.3062584,1.263432392,0.247456362,5.105677541,3.30E-07,7.23E-06
BT_1599,695.8433097,0.728148835,0.143015725,5.091390018,3.55E-07,7.75E-06
BT_4628,4786.835126,-0.41841194,0.08224001,-5.087693214,3.62E-07,7.86E-06
BT_3438,414.5893289,0.761379882,0.149810417,5.082289303,3.73E-07,8.05E-06
BT_1839,1033.977985,0.574909899,0.113264718,5.075807441,3.86E-07,8.28E-06
BT_3170,328.5164422,0.612687124,0.120775187,5.072955282,3.92E-07,8.36E-06
BT_1292,23211.42093,-0.488269408,0.096457762,-5.062002242,4.15E-07,8.81E-06
BT_2508,233.8964186,0.774153764,0.153066934,5.057615945,4.25E-07,8.97E-06
BT_1750,471.4851457,2.087998911,0.413109079,5.054352508,4.32E-07,9.07E-06
BT_3418,1497.460192,0.541701489,0.107195681,5.053389144,4.34E-07,9.07E-06
BT_3697,4525.035223,0.563087033,0.111467621,5.051574884,4.38E-07,9.11E-06
BT_1167,437.2242574,-0.618172743,0.122405968,-5.050184667,4.41E-07,9.13E-06
BT_3337,8534.260084,-0.478937614,0.095017987,-5.040494224,4.64E-07,9.51E-06
BT_4048,9983.9997,0.399720123,0.079302397,5.040454514,4.64E-07,9.51E-06
BT_4155,1203.687557,0.489632583,0.097473259,5.023250383,5.08E-07,1.04E-05
BT_1288,1490.98016,-0.70757952,0.140920853,-5.021112953,5.14E-07,1.04E-05
BT_1077,3466.280984,-0.534640391,0.106819414,-5.005086339,5.58E-07,1.13E-05
BT_1151,6080.742258,-0.687617878,0.137546941,-4.99915065,5.76E-07,1.16E-05
BT_1806,14074.55322,-0.58363387,0.116898738,-4.992644733,5.96E-07,1.19E-05
BT_0689,988.9145017,-0.382571162,0.076731901,-4.985816305,6.17E-07,1.23E-05
BT_2013,3016.831693,0.335862667,0.067995227,4.939503555,7.83E-07,1.55E-05
BT_0660,510.6127457,-0.431902925,0.087864126,-4.915577569,8.85E-07,1.74E-05
BT_1203,3432.722504,-0.358904413,0.073070722,-4.911740343,9.03E-07,1.77E-05
BT_4186,700.4601209,0.984740836,0.200634179,4.908140983,9.19E-07,1.79E-05
BT_1752,1713.602759,0.500793563,0.102162002,4.901955263,9.49E-07,1.84E-05
BT_4555,8806.618016,-0.417365551,0.085160886,-4.900906653,9.54E-07,1.84E-05
BT_3270,370.2491823,1.088223632,0.2222801,4.895731256,9.79E-07,1.88E-05
BT_1179,1883.009431,-0.509427427,0.104400517,-4.879548878,1.06E-06,2.03E-05
BT_3149,851.5373712,0.648807473,0.133196095,4.871069784,1.11E-06,2.11E-05
BT_1973,14056.07689,0.99620282,0.204750165,4.865455526,1.14E-06,2.16E-05
BT_0846,943.4639106,-0.446532205,0.091887583,-4.859548943,1.18E-06,2.22E-05
BT_1293,33322.2537,-0.573074345,0.118049055,-4.85454413,1.21E-06,2.26E-05
BT_2085,7290.871733,-0.428437926,0.088299442,-4.852102298,1.22E-06,2.28E-05
BT_3207,413.2534819,0.53056292,0.109503307,4.84517713,1.26E-06,2.35E-05
BT_4326,1786.088812,-0.445234077,0.091910121,-4.844233379,1.27E-06,2.35E-05
BT_0419,1500.16395,0.658351982,0.136358905,4.828082063,1.38E-06,2.54E-05
BT_0745,2716.988795,-0.362853454,0.075447368,-4.8093587,1.51E-06,2.78E-05
BT_3994,2226.098337,0.55322697,0.115299565,4.798170497,1.60E-06,2.92E-05
BT_3847,4317.986355,0.603001009,0.125712115,4.796681763,1.61E-06,2.93E-05
BT_3553,255.952288,1.106816856,0.230800649,4.795553477,1.62E-06,2.94E-05
BT_0773,5785.027618,-0.392369646,0.082101314,-4.779090921,1.76E-06,3.17E-05
BT_1086,8246.866755,-0.532767784,0.111553482,-4.775895598,1.79E-06,3.21E-05
BT_3510,131.2379782,0.770121436,0.161295868,4.774588734,1.80E-06,3.22E-05
BT_2263,1952.812033,-1.280225978,0.269913939,-4.743089536,2.10E-06,3.74E-05
BT_p548210,235.7760675,2.918028769,0.616429039,4.73376266,2.20E-06,3.90E-05
BT_2953,116.7856424,1.197744272,0.254655094,4.703398042,2.56E-06,4.51E-05
BT_3370,2585.841214,0.511225191,0.108794939,4.698979521,2.61E-06,4.59E-05
BT_1751,884.8254654,2.132492123,0.45394815,4.697655723,2.63E-06,4.60E-05
BT_0330,11408.32016,-0.336352015,0.071646678,-4.694593283,2.67E-06,4.65E-05
BT_0148,7614.429562,-0.24388394,0.052092883,-4.681713205,2.84E-06,4.91E-05
BT_3290,598.6018073,0.809916707,0.17300819,4.681377853,2.85E-06,4.91E-05
BT_2592,39.55071368,1.495342942,0.319526868,4.679866045,2.87E-06,4.92E-05
BT_2961,593.0352086,0.823317293,0.175949936,4.679270217,2.88E-06,4.92E-05
BT_0872,21174.69199,-0.469838582,0.100551535,-4.672614725,2.97E-06,5.06E-05
BT_2511,285.4260196,0.705007421,0.1512337,4.661708464,3.14E-06,5.32E-05
BT_3112,780.1852506,-0.473782892,0.101696631,-4.658786499,3.18E-06,5.37E-05
BT_3172,544.1477479,1.046121755,0.224990664,4.649622949,3.33E-06,5.59E-05
BT_0203,2119.132802,-0.502285722,0.108188006,-4.64271171,3.44E-06,5.76E-05
BT_0527,763.2877683,-0.547389387,0.118132457,-4.633691711,3.59E-06,5.99E-05
BT_0836,3316.972894,-0.374064561,0.080778241,-4.630758922,3.64E-06,6.05E-05
BT_0913,5643.126626,-0.36393259,0.07868976,-4.624904056,3.75E-06,6.20E-05
BT_0504,136550.6758,-0.590697114,0.127822906,-4.621214856,3.81E-06,6.28E-05
BT_3888,2976.836128,0.473793656,0.102595403,4.618078785,3.87E-06,6.35E-05
BT_2481,107.4492474,1.779603956,0.385443133,4.61703375,3.89E-06,6.36E-05
BT_2264,3916.083677,-1.291549451,0.279869857,-4.614821564,3.93E-06,6.40E-05
BT_3111,1625.748966,-0.373774397,0.081047708,-4.61178245,3.99E-06,6.47E-05
BT_2031,1471.106366,0.568556493,0.123484738,4.604265278,4.14E-06,6.68E-05
BT_4252,1508.049587,0.738388799,0.160445934,4.602103523,4.18E-06,6.72E-05
BT_2039,611.3567144,0.596685431,0.129757202,4.598476397,4.26E-06,6.81E-05
BT_2197,261.1442103,0.827507642,0.180014644,4.596890694,4.29E-06,6.84E-05
BT_2834,4382.075309,-0.305177214,0.06647437,-4.590900405,4.41E-06,7.01E-05
BT_1528,1506.872009,-0.561213562,0.122422858,-4.584222033,4.56E-06,7.21E-05
BT_4137,772.9234885,0.91270548,0.199495624,4.575065173,4.76E-06,7.50E-05
BT_1749,453.7806258,1.878974385,0.412588767,4.554109409,5.26E-06,8.23E-05
BT_2189,1647.441545,0.410420837,0.090124059,4.553954206,5.26E-06,8.23E-05
BT_1491,12729.35549,-0.583952765,0.12844771,-4.546229454,5.46E-06,8.48E-05
BT_3378,447.8889622,0.422539863,0.092944792,4.546138112,5.46E-06,8.48E-05
BT_0845,936.2194865,-0.432578227,0.095242459,-4.541863289,5.58E-06,8.59E-05
BT_2125,3534.480432,0.51684336,0.11378185,4.542406021,5.56E-06,8.59E-05
BT_0741,2584.77105,-0.447032687,0.098485264,-4.539081985,5.65E-06,8.67E-05
BT_3586,234.7511288,0.765670721,0.168731513,4.537805112,5.68E-06,8.69E-05
BT_2275,2331.560386,0.476490739,0.105090628,4.534093542,5.79E-06,8.81E-05
BT_1092,65.52134151,1.351017317,0.29816792,4.531061953,5.87E-06,8.90E-05
BT_0533,1013.712781,0.425713375,0.094245181,4.517083742,6.27E-06,9.48E-05
BT_0240,3321.024528,0.436496782,0.096675514,4.515070714,6.33E-06,9.53E-05
BT_0837,16052.32655,-0.247145314,0.054988877,-4.494460139,6.97E-06,0.000104275
BT_1289,994.8462492,-0.583455019,0.129818995,-4.49437326,6.98E-06,0.000104275
BT_4107,1185.846125,0.906663659,0.201943044,4.489699865,7.13E-06,0.000106196
BT_2591,260.6244836,0.655731015,0.146206646,4.484960391,7.29E-06,0.000107395
BT_2789,626.1013351,0.630990781,0.140681159,4.485254364,7.28E-06,0.000107395
BT_3708,3281.546089,0.66239854,0.147683778,4.485249142,7.28E-06,0.000107395
BT_0750,1769.513344,-0.473786358,0.105660267,-4.484054134,7.32E-06,0.00010746
BT_3731,19406.04662,0.60830102,0.135940843,4.474748041,7.65E-06,0.000111842
BT_3874,350.4793745,0.562395147,0.125873768,4.467929693,7.90E-06,0.000115049
BT_0876,3392.129848,-0.281489794,0.063033971,-4.465684014,7.98E-06,0.000115844
BT_1670,3768.345676,-0.302501217,0.067880592,-4.456372709,8.34E-06,0.000120555
BT_1956,13639.08827,-0.352253733,0.079175394,-4.449030392,8.63E-06,0.000123863
BT_3576,2439.852087,0.638483041,0.143488221,4.449724429,8.60E-06,0.000123863
BT_4109,118.6438168,1.064319854,0.240283691,4.429430271,9.45E-06,0.00013519
BT_0189,186.95915,0.818007201,0.184841546,4.425450979,9.62E-06,0.00013722
BT_3927,4565.825158,0.657279635,0.149092632,4.408531983,1.04E-05,0.000147865
BT_3123,1389.162981,0.724549611,0.164926772,4.393159472,1.12E-05,0.000158165
BT_4115,210.1437975,0.797719038,0.182285785,4.376199911,1.21E-05,0.000170382
BT_0204,487.584209,-0.548100857,0.12551488,-4.36681976,1.26E-05,0.000177243
BT_2144,3943.065928,0.697544258,0.159873316,4.363106197,1.28E-05,0.000179654
BT_3234,647.3064357,0.91381092,0.209562937,4.360555984,1.30E-05,0.000181132
BT_1518,83.80833978,1.021636604,0.234413288,4.35827087,1.31E-05,0.000181775
BT_3062,2998.674026,2.065491146,0.473910128,4.358402625,1.31E-05,0.000181775
BT_1490,5938.948,-0.433457167,0.099523004,-4.355346481,1.33E-05,0.000183588
BT_1152,8341.27836,-0.710689542,0.16330563,-4.3518986,1.35E-05,0.000185863
BT_3039,817.4086004,0.503351595,0.115804666,4.346557123,1.38E-05,0.000189797
BT_3148,9040.326854,0.550928897,0.126786318,4.345333986,1.39E-05,0.000190211
BT_3302,664.1206508,0.823588504,0.190332225,4.327110162,1.51E-05,0.000205422
BT_4243,4115.719789,0.627791515,0.145089416,4.326928389,1.51E-05,0.000205422
BT_4519,2718.975486,-0.447153106,0.103431648,-4.323174929,1.54E-05,0.000208249
BT_1846,7115.059724,-0.440648766,0.101992064,-4.320422084,1.56E-05,0.000210159
BT_4518,3257.468957,-0.406942652,0.094248407,-4.317766905,1.58E-05,0.000211993
BT_2417,7288.212695,0.354986506,0.082561435,4.299664923,1.71E-05,0.00022859
BT_2439,5940.054325,-0.27022722,0.062849044,-4.299623389,1.71E-05,0.00022859
BT_3967,651.7734096,0.441253184,0.102758015,4.29409992,1.75E-05,0.000233582
BT_2225,389.4538255,0.596027663,0.138826377,4.293331533,1.76E-05,0.000233621
BT_0029,454.411268,-0.631579509,0.147170515,-4.291481262,1.77E-05,0.000234804
BT_2507,411.6405298,0.6549289,0.1529111,4.283069701,1.84E-05,0.000243066
BT_1735,564.637475,-0.401777035,0.093839191,-4.281548375,1.86E-05,0.000243937
BT_3167,598.0088898,0.588692219,0.137773972,4.272884129,1.93E-05,0.000252791
BT_0462,872.7648885,0.495519844,0.116001548,4.271665809,1.94E-05,0.000253354
BT_0911,4913.707978,-0.357204855,0.083724633,-4.266424839,1.99E-05,0.00025854
